frame_indexes,detected_coordinates,frog_id_kmm,frog_id_gmm,frog_id_dbscan
528,"(1118.0, 401.0)",4,1,3
529,"(1118.0, 402.0)",4,1,3
530,"(1116.0, 402.0)",4,1,3
531,"(1099.0, 401.0)",4,1,3
532,"(1083.0, 402.0)",4,1,3
533,"(729.0, 514.0)",2,6,1
534,"(728.0, 505.0)",2,6,1
535,"(213.0, 381.0)",0,0,0
536,"(100.0, 403.0)",0,3,0
537,"(68.0, 422.0)",0,3,0
538,"(67.0, 422.0)",0,3,0
539,"(68.0, 402.0)",0,3,0
540,"(84.0, 392.0)",0,3,0
541,"(481.0, 361.0)",1,4,0
542,"(484.0, 360.0)",1,4,0
543,"(481.0, 361.0)",1,4,0
544,"(491.0, 361.0)",1,4,0
545,"(501.0, 361.0)",1,4,0
546,"(501.0, 361.0)",1,4,0
547,"(521.0, 361.0)",1,4,0
548,"(1079.0, 401.0)",4,1,3
549,"(1098.0, 420.0)",4,1,3
550,"(1098.0, 421.0)",4,1,3
551,"(1087.0, 402.0)",4,1,3
552,"(1098.0, 401.0)",4,1,3
553,"(1078.0, 401.0)",4,1,3
553,"(738.0, 505.0)",2,6,1
554,"(747.0, 525.0)",2,6,1
555,"(747.0, 523.0)",2,6,1
556,"(76.0, 404.0)",0,3,0
557,"(68.0, 421.0)",0,3,0
558,"(69.0, 420.0)",0,3,0
559,"(69.0, 402.0)",0,3,0
560,"(521.0, 360.0)",1,4,0
561,"(502.0, 360.0)",1,4,0
562,"(500.0, 363.0)",1,4,0
563,"(481.0, 361.0)",1,4,0
564,"(1098.0, 402.0)",4,1,3
565,"(1079.0, 402.0)",4,1,3
566,"(1079.0, 402.0)",4,1,3
567,"(1098.0, 402.0)",4,1,3
568,"(1099.0, 422.0)",4,1,3
569,"(748.0, 504.0)",2,6,1
569,"(150.0, 395.0)",0,3,0
570,"(747.0, 505.0)",2,6,1
570,"(151.0, 381.0)",0,3,0
571,"(193.0, 380.0)",0,0,0
572,"(747.0, 505.0)",2,6,1
573,"(747.0, 505.0)",2,6,1
574,"(69.0, 421.0)",0,3,0
575,"(67.0, 422.0)",0,3,0
576,"(1078.0, 401.0)",4,1,3
577,"(1078.0, 402.0)",4,1,3
578,"(1079.0, 403.0)",4,1,3
579,"(1098.0, 402.0)",4,1,3
580,"(1099.0, 402.0)",4,1,3
581,"(1119.0, 402.0)",4,1,3
582,"(461.0, 361.0)",1,4,0
583,"(459.0, 360.0)",1,4,0
584,"(460.0, 360.0)",1,4,0
585,"(460.0, 360.0)",1,4,0
586,"(478.0, 361.0)",1,4,0
587,"(743.0, 506.0)",2,6,1
588,"(744.0, 505.0)",2,6,1
589,"(196.0, 380.0)",0,0,0
590,"(1202.0, 421.0)",6,1,-1
591,"(1140.0, 402.0)",4,1,3
592,"(1098.0, 402.0)",4,1,3
593,"(1079.0, 402.0)",4,1,3
594,"(1079.0, 402.0)",4,1,3
595,"(1078.0, 402.0)",4,1,3
596,"(109.0, 380.0)",0,3,0
597,"(89.0, 381.0)",0,3,0
598,"(70.0, 419.0)",0,3,0
599,"(69.0, 422.0)",0,3,0
600,"(68.0, 422.0)",0,3,0
601,"(66.0, 442.0)",0,3,0
602,"(65.0, 442.0)",0,3,0
603,"(460.0, 361.0)",1,4,0
604,"(461.0, 361.0)",1,4,0
605,"(460.0, 361.0)",1,4,0
606,"(1057.0, 401.0)",4,1,3
607,"(1057.0, 401.0)",4,1,3
608,"(1058.0, 401.0)",4,1,3
609,"(1077.0, 402.0)",4,1,3
610,"(1079.0, 402.0)",4,1,3
611,"(1098.0, 403.0)",4,1,3
612,"(1098.0, 402.0)",4,1,3
613,"(107.0, 400.0)",0,3,0
614,"(90.0, 400.0)",0,3,0
615,"(108.0, 381.0)",0,3,0
616,"(90.0, 401.0)",0,3,0
617,"(89.0, 420.0)",0,3,0
618,"(88.0, 422.0)",0,3,0
619,"(85.0, 442.0)",0,3,0
620,"(1200.0, 421.0)",6,1,-1
621,"(480.0, 377.0)",1,4,0
622,"(481.0, 377.0)",1,4,0
623,"(499.0, 370.0)",1,4,0
624,"(481.0, 360.0)",1,4,0
625,"(480.0, 362.0)",1,4,0
626,"(213.0, 380.0)",0,0,0
627,"(192.0, 380.0)",0,0,0
628,"(231.0, 380.0)",0,0,0
629,"(501.0, 379.0)",1,4,0
630,"(521.0, 379.0)",1,4,0
631,"(108.0, 401.0)",0,3,0
631,"(1099.0, 419.0)",4,1,3
632,"(1098.0, 402.0)",4,1,3
633,"(1099.0, 416.0)",4,1,3
634,"(1099.0, 402.0)",4,1,3
635,"(1079.0, 402.0)",4,1,3
636,"(89.0, 401.0)",0,3,0
637,"(70.0, 421.0)",0,3,0
638,"(68.0, 423.0)",0,3,0
639,"(68.0, 442.0)",0,3,0
640,"(68.0, 423.0)",0,3,0
641,"(460.0, 360.0)",1,4,0
642,"(481.0, 368.0)",1,4,0
642,"(234.0, 380.0)",0,0,0
643,"(254.0, 361.0)",0,0,0
644,"(234.0, 380.0)",0,0,0
645,"(212.0, 380.0)",0,0,0
646,"(131.0, 401.0)",0,3,0
646,"(439.0, 379.0)",1,4,0
647,"(109.0, 406.0)",0,3,0
648,"(89.0, 422.0)",0,3,0
649,"(69.0, 405.0)",0,3,0
650,"(88.0, 421.0)",0,3,0
